tid,hendelse,navn,status,activity,state,battery,operating_hours
2026-07-04T23:37:55,Activity endret: PARKED_TIMER → PARKED_PARK_SELECTED,Martin,Parkert,PARKED_PARK_SELECTED,OK,100,11
2026-07-05T07:20:24,Klipping startet,Martin,Klipper,OK_CUTTING,OK,45,11
2026-07-05T10:54:26,Status endret: Klipper → Ukjent,Martin,Ukjent,NONE,WARNING,100,13
2026-07-05T14:15:52,Klipping startet,Martin,Klipper,OK_CUTTING,OK,50,13
2026-07-05T15:41:06,Status endret: Klipper → Ukjent,Martin,Ukjent,NONE,ERROR,35,15
2026-07-06T11:03:47,Status endret: Ukjent → Parkert,Martin,Parkert,PARKED_PARK_SELECTED,OK,100,15
2026-07-07T09:20:32,Status endret: Parkert → Lader,Martin,Lader,OK_CHARGING,OK,95,17
2026-07-07T15:21:43,Klipping startet,Martin,Klipper,OK_CUTTING,OK,50,19
2026-07-07T17:31:34,Status endret: Klipper → Ukjent,Martin,Ukjent,NONE,ERROR,35,21
2026-08-01T15:09:53,Klipping startet,Martin,Klipper,OK_CUTTING,OK,85,21
2026-08-01T17:18:22,Klipping avsluttet,Martin,Parkert,PARKED_TIMER,OK,70,23
2026-08-01T18:15:59,Activity endret: PARKED_TIMER → PARKED_PARK_SELECTED,Martin,Parkert,PARKED_PARK_SELECTED,OK,100,23
2026-08-02T07:22:28,Klipping startet,Martin,Klipper,OK_CUTTING,OK,55,23
2026-08-02T09:31:50,Klipping avsluttet,Martin,Lader,OK_CHARGING,OK,95,25
2026-08-02T11:03:59,Klipping startet,Martin,Klipper,OK_CUTTING,OK,50,25
2026-08-02T12:15:40,Klipping avsluttet,Martin,Lader,OK_CHARGING,OK,60,27
2026-08-02T14:04:09,Klipping startet,Martin,Klipper,OK_CUTTING,OK,75,27
2026-08-02T15:19:33,Status endret: Klipper → Søker GPS,Martin,Søker GPS,SEARCHING_FOR_SATELLITES,OK,40,27
2026-08-02T16:27:01,Status endret: Søker GPS → Lader,Martin,Lader,OK_CHARGING,OK,70,29
2026-08-02T17:39:52,Status endret: Lader → Parkert,Martin,Parkert,PARKED_PARK_SELECTED,OK,100,29
2026-08-03T07:39:16,Klipping startet,Martin,Klipper,OK_CUTTING,OK,45,29
2026-08-03T16:10:43,Klipping avsluttet,Martin,Lader,OK_CHARGING,OK,35,36
2026-08-03T18:07:09,Status endret: Lader → Parkert,Martin,Parkert,PARKED_PARK_SELECTED,OK,100,36
2026-08-04T07:19:47,Klipping startet,Martin,Klipper,OK_CUTTING,OK,65,36
2026-08-04T12:18:07,Status endret: Klipper → Ukjent,Martin,Ukjent,NONE,ERROR,55,40
2026-08-04T14:45:58,Status endret: Ukjent → Parkert,Martin,Parkert,PARKED_TIMER,OK,85,40
2026-08-04T18:18:51,Activity endret: PARKED_TIMER → PARKED_PARK_SELECTED,Martin,Parkert,PARKED_PARK_SELECTED,OK,100,40
2026-08-05T07:20:33,Klipping startet,Martin,Klipper,OK_CUTTING,OK,60,40
2026-08-05T12:15:49,Søker ladestasjon,Martin,Søker ladestasjon,OK_SEARCHING,OK,35,45
2026-08-05T14:41:13,Status endret: Søker ladestasjon → Ukjent,Martin,Ukjent,NONE,ERROR,30,45
